abandon               放纵；放弃；停止做某事
autonomy     政治上的独立；精神上的独立、自我主导的自由
benign                    好心的；无害的
commiserative   Not found ! - commiserative
compassion   Not found ! - compassion
condemn                        谴责
convoluted                    复杂的
cryptic          秘密的；含义模糊的；超出理解力的
forestall                    预先阻止
improvise                    即兴而作
munificent                    慷慨的
nonchalant                    冷漠的
occult           隐藏的；难以理解的；使隐藏或神秘
ostentatious                  炫耀卖弄的
perfunctory              敷衍的；不感兴趣的
pragmatic               实用主义的 务实的
recessive                 隐性的；内向的
relinquish                放弃；交出移交
resign                         辞职
resolute                      坚定的
restitution                   补偿赔偿
skimp              吝啬；节省花费；缺乏的不足的
stodgy                  平庸的；非常守旧的
strident                      刺耳的
suffrage     Not found ! - suffrage
suppress                 抑制；镇压 终止
tedious                     冗长乏味的
transgression   Not found ! - transgression
unstinting   Not found ! - unstinting
vestigial               发育不全的、退化的
way             Not found ! - way
