abbreviate                     缩写
abstemious               有节制的，节俭的
anachronistic                  时代错误的
backfire                     事与愿违
candor                         坦白
complacent            自满的；无所谓不关心的
connoisseur                 鉴赏家；专家
consequence                    重要性
cosmopolitan                 有世界眼光的
delusion                       错觉
digress                      脱离主题
dilatory                      拖延的
discreet              言行谨慎的；不易察觉的
disregard                 漠视；缺乏兴趣
enigma                          迷
erudite                       博学的
finicky                     过分讲究的
fluent                   流利的；不费力的
headlong                      鲁莽的
humble       Not found ! - humble
indifferent          不感兴趣的；公平的；一般的
ingenuous                 天真的；坦白的
laconic               简洁的以至于显得粗鲁的
liberal           a.思想前卫的；a.慷慨大方的
lucid        a.易懂的；a.神志清醒的；a.有光亮的
mishap                         不幸
mitigate                   减轻；使缓和
momentous                    极重要的
nominal                 不重要的；名义上的
nonchalant                    冷漠的
nuance                      细微的差异
opprobrious              辱骂的；臭名昭著的
palliate                    减轻，平息
pedestrian            行人；平庸的令人厌倦的
precipitate               加速促进；仓促的
prudent                 明智的；小心谨慎的
pundit                    权威人士，专家
repeal              撤销；废除；宣布与⋯⋯决裂
repress                     镇压；阻止
retrieve                       找回
simulate                    模仿；模拟
subdue                   征服；压制；减轻
temperate               有分寸的；有节制的
trifling                 细微的，不重要的
trivial                     微不足道的
truncate                    截短 缩短
virtuoso           艺术鉴赏家 专家；技艺精湛的
