agreeable          令人愉悦的；随和的；相一致的
ally                      盟友；加入联盟
arduous                       费力的
auspicious                   好兆头的
autonomy     政治上的独立；精神上的独立、自我主导的自由
badinage                 打趣、善意的玩笑
bombast                      自夸之词
compose                  使镇定；组成构成
compunction                内疚、良心不安
conjecture                     猜测
consummate      专业的有造诣的；完美的；最高档次的
convoluted                    复杂的
diplomatic                    机智的
dire                 悲惨的；不吉利的；恐怖的
discreet              言行谨慎的；不易察觉的
erode         Not found ! - erode
escalate                       扩大
expurgate                    净化删去
imperturbable                  沉着冷静的
inept               愚笨的；不恰当的；不称职的
laborious                 勤奋的；费力的
misgiving                      担忧
mollify                   缓和；平息抚慰
moribund              即将结束的；即将过时的
paramount                    最重要的
partisan               信徒；支持者；偏袒的
persevere                    坚持不懈
profusion                   丰富；挥霍
propitious                    吉祥的
prudent                 明智的；小心谨慎的
repress                     镇压；阻止
resurgence                     复兴
scorn                          蔑视
subdue                   征服；压制；减轻
superfluous                    多余的
tout                         极力赞扬
