accidental               意外的；不重要的
admonition   Not found ! - admonition
ambiguous       含糊的、不确定的；有多种理解方式的
annihilation   Not found ! - annihilation
assertive                     武断的
benign                    好心的；无害的
blight                      枯萎；损坏
burgeon                      迅速长大
captious                    吹毛求疵的
censure                   公开反对、谴责
cognizant                     知道的
colossal                      巨大的
cowardice                      懦弱
deliberate                  深思熟虑的
diffident             不自信的；沉默的内向的
disparate                   迥然不同的
dissemination   Not found ! - dissemination
eclectic                     多元化的
effusive                    感情奔放的
elude                      躲避；使困惑
embroil      Not found ! - embroil
entreaty     Not found ! - entreaty
erudite                       博学的
erudite                       博学的
exonerate                    免除责备
expedite                     加快进程
expurgate                    净化删去
farce                          闹剧
hamper                  阻碍；有盖的大篮子
hobble                    蹒跚而行；阻碍
inclement                 恶劣的；无情的
indispensable                  不可缺少的
indomitability   Not found ! - indomitability
inhospitable   Not found ! - inhospitable
innocuous             不会引起恶意的；无害的
largesse                   慷慨；捐赠物
lush         a 茂盛的；多产的；（声音、味道）令人愉悦的
malleability   Not found ! - malleability
meticulous                a.极为谨慎的
moderate                   缓和；适当的
nemesis      Not found ! - nemesis
paucity                        少量
perilous                      危险的
persistence                     坚持
polymath     Not found ! - polymath
proscription   Not found ! - proscription
quarantine                     隔离
recrimination   Not found ! - recrimination
redress      Not found ! - redress
rejuvenate   Not found ! - rejuvenate
resonance    Not found ! - resonance
scrupulous              正直的；一丝不苟的
slapstick    Not found ! - slapstick
solemnity                      严肃
sparing                   节俭的；不足的
spur                   刺激；刺激物；支撑物
suffuse                     弥漫；染遍
willful                   固执的；故意的
wilt                    植物萎蔫；精神萎靡
