                   Not found ! - 
accidental               意外的；不重要的
ambiguous       含糊的、不确定的；有多种理解方式的
captious                    吹毛求疵的
captivate                      吸引
censure                   公开反对、谴责
charlatan                      骗子
contentious              引起争论的；好战的
deliberate                  深思熟虑的
disparate                   迥然不同的
eclectic                     多元化的
eclectic                     多元化的
elude                      躲避；使困惑
enlighten          启发；进行精神或道德上的教育
erudite                       博学的
expedite                     加快进程
exploit               英雄行为；最大程度利用
fanciful                 幻想中的；荒谬的
farce                          闹剧
hamper                  阻碍；有盖的大篮子
hobble                    蹒跚而行；阻碍
illuminate   Not found ! - illuminate
impostor                      冒充者
inclement                 恶劣的；无情的
indispensable                  不可缺少的
nominal                 不重要的；名义上的
persevere                    坚持不懈
plagiarize                     剽窃
reserved                  矜持的，缄默的
reticent               沉默不语的；不愿意的
scour                     用力擦洗；搜查
serpentine                    弯曲的
sordid                    肮脏的；卑鄙的
squalid                 污秽的；道德败坏的
succinct                      简明的
terse                         简洁的
tycoon                      大亨，巨头
voluble                       健谈的
willful                   固执的；故意的
