ambiguous       含糊的、不确定的；有多种理解方式的
apocalyptic        预言的；重要的转折点的；夸大的
arbitrary        专横的；独裁的；随意的缺乏计划的
assiduous                     勤勉的
banal                         陈腐的
benign                    好心的；无害的
circumspect                    谨慎的
conform                 使协调；调整；遵从
decorum                        礼仪
deleterious                    有害的
demanding             难取悦的；费时间花心思
distill                用蒸馏提纯；渗出滴下
downplay                     轻描淡写
eclectic                     多元化的
enmity                         敌意
ephemeral                     短暂的
exacting              苛求的；费时间花心思的
exonerate                    免除责备
exorbitant                    过度的
extravagant            挥霍的；过度的不必要的
fecund                        多产的
fleeting                    稍纵即逝的
incessant                    无间断的
industrious   Not found ! - industrious
inimical             不友好的有敌意的；不利的
innocuous             不会引起恶意的；无害的
insouciant               不在乎的不纠结的
lavish                 大量的；挥霍的；挥霍
magnitude                 重要重大；巨大
penchant                 强烈的嗜好，迷恋
perfunctory              敷衍的；不感兴趣的
pernicious                有害的；致命的
pique                    使愤怒；激起刺激
sinecure                       美差
slovenly                      邋遢的
spectator                      观众
squander                   浪费；使分散
steadfast                 坚定的；忠诚的
stereotype                     成见
substantiate                证实；使实体化
suffuse                     弥漫；染遍
trenchant            锐利的；犀利的一针见血的
unremitting                  连续不断的
vacuous                       愚蠢的
vocation                       职业
