                   Not found ! - 
anomalous                     反常的
arrest                 使不活跃，停止；逮捕
audacious     大胆的；无礼的；乐于冒险的；大胆创新的
bolster                     支持；鼓励
castigate                  强烈反对指责
cleave                   坚持；分隔 劈开
connoisseur                 鉴赏家；专家
considerable        数量可观的；值得考虑的、重要的
contagious              传染的；唤起共鸣的
contumacious                   不服从的
crook                         使弯曲
cryptic          秘密的；含义模糊的；超出理解力的
curtail                        缩短
deleterious                    有害的
demolition                     破坏
divert                使转向；使消遣；使分心
ephemeral                     短暂的
epigram                  警句、机智的短诗
erratic          缺乏连续性的；善变的；不同寻常的
eschew                      躲避；戒绝
evoke                          唤起
exceptional                特别的；非凡的
fortify                 增强；做好心理准备
gregarious               爱社交的；群居的
hardy                   顽强的；愿意冒险的
imperturbable                  沉着冷静的
indelible             擦拭不掉的；无法忘怀的
integral                 构成整体所必需的
laconic               简洁的以至于显得粗鲁的
meteoric             a. 流星般迅速而短暂的
obstreperous              难以驾驭的；吵闹的
pernicious                有害的；致命的
pointer                   指针；忠告建议
procrastinate                     拖延
reconcile                     使和谐
redundant                     多余的
ruffle                   皱褶；弄皱；扰乱
soothe                  安慰；使安心；缓解
succinct                      简明的
superfluous                    多余的
surmise                       推测；
timorous                      胆小的
transitory                    短暂的
virtuoso           艺术鉴赏家 专家；技艺精湛的
