                   Not found ! - 
accelerate             加；使提前发生；变大
accessible         可达到的；可理解的；能获得的
baffling              令人疑惑的，难以理解的
circumscribe                  限制；包围
comprehend                  理解；包括
contagious              传染的；唤起共鸣的
credulous                     轻信的
defy                           反抗
dilettante           业余爱好者缺乏专业技术的
dismay                      使失去信心
embrace                   乐于接受；包围
emollient    Not found ! - emollient
erudite                       博学的
erudite                       博学的
feckless                 粗心的；无成果的
fervent                     热情洋溢的
frustrate                  挫败；使沮丧
gullible                     易受骗的
hypnotic                有助睡眠的；安眠药
impassive                     冷漠的
indispensable                  不可缺少的
instill                   慢慢滴入；灌输
jaundice                       偏见
legion                        大量的
minute                        nan
momentous                    极重要的
nonentity             不重要的人；虚构的东西
ostentatious                  炫耀卖弄的
overbearing        专横傲慢的；压倒一切的；支配的
phlegmatic                冷静的，冷漠的
presage                     预言；征兆
proffer                        献出
protean                 善变的；多才多艺的
revere                         尊敬
scant                         不足的
sensitive                     敏感的
shirk                          逃避
slight              纤细的；少量的；轻蔑；疏忽
soporific             安眠药；催眠的；困倦的
subtle                 微妙的；巧妙的间接的
trivial                     微不足道的
urbane                      彬彬有礼的
venerate                       尊敬
