accord                  授予；相一致；一致
articulate          明白清晰地表述；表达清晰的
ascetic                   禁欲的；禁欲者
boisterous                    喧闹的
conjecture                     猜测
covert                  隐藏的；隐秘掩护所
deplete                        耗尽
dirge                          挽歌
discretion              谨慎慎重；自制节制
disjointed          机能失调的；散乱的不连贯的
dormant                   静止的；冬眠的
enunciate               清晰发言；公开宣布
gaffe                    失态；明显的错误
gallant                 英勇的；高贵慷慨的
hamper                  阻碍；有盖的大篮子
indolent                      懒惰的
ineluctable                  无法逃避的
lavish                 大量的；挥霍的；挥霍
lugubrious           a （故作夸张的）悲哀的
mundane                   尘世的；平凡的
nominal                 不重要的；名义上的
obstruct                    妨碍；阻挡
prescience                     预知
quiescent                     平静的
rapport                     和睦 友好
reap                         收割收获
redeem                实践履行承诺；改过自新
remunerate                   给予报酬
reticent               沉默不语的；不愿意的
ritual       Not found ! - ritual
salient                       显著的
salvage                        抢救
serpentine                    弯曲的
sloth                          懒惰
submerge                      使淹没
sumptuous                     豪华的
taxing                    繁重的；费力的
temperate               有分寸的；有节制的
tumult                        骚动 
undermine                      削弱
unexceptionable                  无懈可击的
unimpeachable                  无可置疑的
unruly                       难驾驭的
versatile           多才多艺的全能的；易改变的
