admonish                    建议；责备
adulate                      极度谄媚
ambrosial                   特别美味的
articulate          明白清晰地表述；表达清晰的
calamity                      大灾难
catastrophe                    大灾难
choleric                  易怒的；生气的
cloying               甜得发腻的；感情用事的
concord                        一致
consummate      专业的有造诣的；完美的；最高档次的
contagious              传染的；唤起共鸣的
deleterious                    有害的
depreciate                  贬值；轻视
diaphanous              模糊的；几乎透明的
eccentric              古怪的人；行为古怪的
enunciate               清晰发言；公开宣布
ephemeral                     短暂的
eulogize                       称赞
extravagant            挥霍的；过度的不必要的
foil                           挫败
forfeit                        罚金
histrionic                戏剧的；演员的
hobble                    蹒跚而行；阻碍
idiosyncrasy               独特而奇怪的习惯
inevitable                  不可避免的
ingenious                     聪明的
insipid                 平淡的；清淡无味的
intemperate            无节制的极端的不温和的
momentous                    极重要的
morose                        忧郁的
opaque                   不透光的；晦涩的
opportune                     合适的
palliate                    减轻，平息
petulant                      易怒的
profundity                     深奥
prolong                        延长
prosaic                    单调的常见的
quell                       压制；平息
redolent                      芳香的
rehearsal                    排练彩排
release                  排放；释放；解雇
relinquish                放弃；交出移交
remiss                        疏忽的
retribution                 报偿、报应 
rhetorical    语言文字上的；辞藻华丽的（往往无内涵）
robust                精力充沛的；强壮健康的
shroud                     隐蔽物；遮蔽
sluggish                  迟钝的；缓慢的
smug                      自大的；整洁的
solicitous            关心挂念的；迫切渴望的
somber                    忧郁的；昏暗的
soothe                  安慰；使安心；缓解
stalwart            健壮的；无所畏惧的；坚定地
tawdry                        俗丽的
temporize       行动躲躲闪闪以争取时间、躲避争论等
theatrical                做作的；夸张的
therapeutic                    治疗的
thwart                         阻挠
timely                  及时的；恰到好处的
toady                         马屁精
trivial                     微不足道的
vacillate                 犹豫不决；摇摆
vindictive                    复仇的
virtuoso           艺术鉴赏家 专家；技艺精湛的
viscid                       有粘性的
viscous                    粘稠的 粘的
