alacrity                  反应敏锐；欣然
alleviate                      缓和
amalgamation   Not found ! - amalgamation
amass         Not found ! - amass
associate    Not found ! - associate
belligerence                  好斗 好战
censure                   公开反对、谴责
conciliatory   Not found ! - conciliatory
conflation   Not found ! - conflation
confrontational   Not found ! - confrontational
convergence   Not found ! - convergence
copious                       丰富的
curative     Not found ! - curative
decorative   Not found ! - decorative
denounce                     公开指责
distort                        扭曲
disturb      Not found ! - disturb
dubious                 怀疑的；不愿行动的
embarrass                  使尴尬；阻碍
encroach     Not found ! - encroach
esoteric             深奥难懂的；少数人知道的
espouse               支持；拥护；与⋯⋯结婚
frigid                    严寒的；冷漠的
fusion       Not found ! - fusion
glacial                   极冷的；冷漠的
impenetrable            难以渗透的；难以理解的
implement                   实施；工具
infusion     Not found ! - infusion
instantaneously   Not found ! - instantaneously
interfere    Not found ! - interfere
intuition    Not found ! - intuition
jaded                     疲惫的；厌倦的
lissome             a.柔软的；a.敏捷轻盈的
lithe               a.柔软的；a.敏捷轻盈的
mar                     n 污点；v 破坏
miscellaneous   Not found ! - miscellaneous
motley                   混杂的富于变化的
onset                       攻击；开始
palliate                    减轻，平息
raze                           摧毁
readiness    Not found ! - readiness
rebuke       Not found ! - rebuke
rectify      Not found ! - rectify
remarkable   Not found ! - remarkable
reprieve              缓刑免罪；维持⋯⋯运行
salvageable   Not found ! - salvageable
screen                   屏障；保护；掩护
self-serving   Not found ! - self-serving
stifling     Not found ! - stifling
superfluity   Not found ! - superfluity
surfeit                   过量；饮食过量
therapeutic                    治疗的
truculence   Not found ! - truculence
twisted      Not found ! - twisted
weary         Not found ! - weary
winnow       Not found ! - winnow
