                   Not found ! - 
bully                   欺凌弱小者；最好的
chicanery                   诡计、欺骗
circumscribe                  限制；包围
consign                      移交转移
contiguous                    接壤的
cosmopolitan                 有世界眼光的
discern                        识别
discretion              谨慎慎重；自制节制
ecumenical          世界范围的；全球基督教会的
imperative            命令的；迫切的；必要的
indispensable                  不可缺少的
insurgent                    叛乱分子
intimidate                     恐吓
lavish                 大量的；挥霍的；挥霍
mediocre            a 平庸的；质量中等偏下的
monarch                  君主；巨头 大亨
perspicacious                   极敏锐的
potentate                   有权势的人
prodigious            巨大的；惊人的了不起的
quiescent                     平静的
recluse                    隐士；隐居的
resilience                弹力；恢复能力
therapeutic                    治疗的
vulnerable              易受攻击的、脆弱的
