abhor                        深恶痛绝
acrid                     辛辣的；刻薄的
apostasy                放弃宗教信仰；变节
census                       人口普查
compliant                     顺从的
convoluted                    复杂的
derivative                   非原创的
despise                      极不喜欢
diaphanous              模糊的；几乎透明的
diffident             不自信的；沉默的内向的
dissension                   意见不合
diversity                     多样性
enigma                          迷
euphonious   Not found ! - euphonious
facetious                 幽默的；轻浮的
forthright                    直率的
fracture                       破裂
iconoclast                 特立独行的人
indispensable                  不可缺少的
inept               愚笨的；不恰当的；不称职的
insight                       洞察力
negotiate                   谈判；谋划
partisan               信徒；支持者；偏袒的
perfidy                      背信弃义
predilection                     爱好
prescience                     预知
profundity                     深奥
protean                 善变的；多才多艺的
pungent                   辛辣的，讽刺的
refute                 驳斥，证明为假；否认
reticent               沉默不语的；不愿意的
spartan                   简朴的，节约的
supercilious                    高傲的
tout                         极力赞扬
trenchant            锐利的；犀利的一针见血的
trifling                 细微的，不重要的
viable                        可行的
volatile                      多变的
zealot                        狂热者
